Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_004119895.1	ASM411989v1	Acipenser ruthenus					WHYD16114868_AA		Annotation submitted by Yangtze River Fisheries Research Institute, Chinese Academy of Fishery Sciences	Scaffold	2019-01-30	SCEB01	215913
GCA_001645015.2	AAFC_TiDAOMC236416_2	Tilletia indica		DAOMC 236416					Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	2019-10-30	LWDF02	3113
GCA_001045655.1	ASM104565v1	Lasius niger						female	Annotation submitted by Lomonosov Moscow State University	Scaffold	2015-07-02	LBMM01	36804
GCA_006013705.1	ASM601370v1	Solanum chilense				LA3111			Annotation submitted by HelmholtzZentrum Munich	Scaffold	2019-06-05	RXGB01	81266
GCA_905250105.1	Bc_PSC1_reference_genomic_v1	Brachionus calyciflorus					Ploen Becks lab		Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-19	CAJNOC01	14869
GCA_003710015.1	Brachionus_plicatilis_HYR1	Brachionus plicatilis					HYR1		Annotation submitted by Universitat de Valencia and Universiy of Hull	Scaffold	2018-11-02	REGN01	14319
GCA_009428365.1	AAFC_TiDAOMC236414_1	Tilletia indica		DAOMC 236414					Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	2019-10-30	RDSJ01	4624
GCA_000828355.1	SarSca1.0	Sarcoptes scabiei					Arlian Lab		Annotation submitted by Wright State University	Scaffold	2015-02-10	JXLN01	18859
GCA_002738545.1	EschrichtiusRobustus1.0	Eschrichtius robustus					AM-GW-M-EMB-4M-20130531	male	Laboratory of postgenomic studies, Engelhardt Institute of Molecular Biology, Russian Academy of Sciences Draft 1.0	Scaffold	2017-10-31	NTJE01	1213011
GCA_010203745.1	Muccir1_3	Mucor lusitanicus		MU402					Annotation submitted by DOE Joint Genome Institute	Contig	2020-02-05	JAAECE01	24
GCA_008692205.1	Ptr_V0001	Pyrenophora tritici-repentis					V0001		Annotation submitted by Curtin University	Contig	2019-09-24	SAXQ01	30
GCA_900157425.1	version 2	Armillaria ostoyae		C18/9					Annotation submitted by Technische Universitat Munchen - WZW	Contig	2017-09-28	FUEG01	106
GCA_019207725.1	ASM1920772v1	Ogataea polymorpha					CBS 7031		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVK01	63
GCA_019208005.1	ASM1920800v1	Ogataea polymorpha					72-225		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVR01	36
GCA_020536115.1	ASM2053611v1	Ogataea polymorpha		NCAIM Y.01608					Annotation submitted by Barcelona Supercomputing Center	Scaffold	2021-10-20	JAEUBD01	1591
GCA_019207815.1	ASM1920781v1	Ogataea polymorpha					Y-27863		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVO01	43
GCA_019207965.1	ASM1920796v1	Ogataea polymorpha					YB-179		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVM01	63
GCA_019207715.1	ASM1920771v1	Ogataea polymorpha					CBS 5032		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVL01	38
GCA_019207825.1	ASM1920782v1	Ogataea polymorpha					Y-27293		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVP01	55
GCA_019207735.1	ASM1920773v1	Ogataea polymorpha					CBS 7239		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVJ01	60
GCA_019207905.1	ASM1920790v1	Ogataea polymorpha					Y-2423		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVQ01	64
GCA_019207835.1	ASM1920783v1	Ogataea polymorpha					Y-6005		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVN01	44
GCA_019208045.1	ASM1920804v1	Ogataea polymorpha					CBS 1976		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVS01	59
GCA_001636745.1	NOR 1.0	Metarhizium rileyi		RCEF 4871					Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	Scaffold	2016-05-04	AZHC01	389
GCA_004919615.1	Ncer 3.0	Vairimorpha ceranae		BRL					Annotation submitted by Jiangxi Agricultural University	Contig	2019-04-29	SMUP01	110
GCA_019721275.1	ucr_EpNi_1.0	Epicoccum nigrum		cf0051					Annotation submitted by University of California, Riverside	Scaffold	2021-08-20	JAASLF01	488
GCA_013399815.1	ASM1339981v1	Hirundo rustica					B10K-DU-001-67	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZZX01	13084
GCA_008692325.1	ASM869232v1	Sordaria macrospora		R19027					Annotation submitted by Ruhr-University Bochum	Scaffold	2019-09-24	NMPR01	584
GCA_007866325.1	ASM786632v1	Metarhizium rileyi		Cep018-CH2					Annotation submitted by Embrapa	Scaffold	2019-08-07	SBHS01	249
GCA_022544805.1	ASM2254480v1	Pyrenophora tritici-repentis		Alg215					Annotation submitted by Curtin University	Scaffold	2022-03-11	RXHK01	3132
GCA_003171545.1	PtrARCrossB10	Pyrenophora tritici-repentis		ARCrossB10	ARCrossB10	USA			Annotation submitted by Curtin University	Scaffold	2018-05-25	NQWZ01	2863
GCA_022578395.1	ASM2257839v1	Pyrenophora tritici-repentis		T199					Annotation submitted by Curtin University	Scaffold	2022-03-15	RXHM01	3171
GCA_022578365.1	ASM2257836v1	Pyrenophora tritici-repentis		T205					Annotation submitted by Curtin University	Scaffold	2022-03-15	RXHL01	3078
GCA_022544795.1	ASM2254479v1	Pyrenophora tritici-repentis		Alg130					Annotation submitted by Curtin University	Scaffold	2022-03-11	RXHN01	3405
GCA_022788415.1	ASM2278841v1	Pyrenophora tritici-repentis		SN001A					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOQ01	2367
GCA_022788435.1	ASM2278843v1	Pyrenophora tritici-repentis		EW7m1					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOR01	2406
GCA_022788425.1	ASM2278842v1	Pyrenophora tritici-repentis		SN002B					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOO01	2952
GCA_022788405.1	ASM2278840v1	Pyrenophora tritici-repentis		EW4-4					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOS01	2353
GCA_022788505.1	ASM2278850v1	Pyrenophora tritici-repentis		EW306-2-1					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOT01	2590
GCA_022788515.1	ASM2278851v1	Pyrenophora tritici-repentis		CC142					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOU01	2398
GCA_022788445.1	ASM2278844v1	Pyrenophora tritici-repentis		SN001C					Annotation submitted by Curtin University	Scaffold	2022-04-01	PSOP01	2483
GCA_003231345.1	Ptr5213	Pyrenophora tritici-repentis		5213					Annotation submitted by Curtin University	Scaffold	2018-06-15	MVBI01	3318
GCA_003231365.1	Ptr239	Pyrenophora tritici-repentis		239					Annotation submitted by Curtin University	Scaffold	2018-06-15	MVBH01	3309
GCA_003231355.1	Ptr11137	Pyrenophora tritici-repentis		11137					Annotation submitted by Curtin University	Scaffold	2018-06-15	MVBG01	2645
GCA_003325415.1	Rstol_CA	Rhizopus stolonifer		LSU 92-RS-03					Annotation submitted by University of California, Riverside	Scaffold	2018-07-17	PJQM01	8064
GCA_024761355.1	ASM2476135v1	Hortaea werneckii		EXF-3845					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCD01	594
GCA_024761265.1	ASM2476126v1	Hortaea werneckii		EXF-6663					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBZ01	414
GCA_024761865.1	ASM2476186v1	Hortaea werneckii		EXF-15					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCW01	703
GCA_024761115.1	ASM2476111v1	Hortaea werneckii		EXF-10820					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBT01	503
GCA_024761915.1	ASM2476191v1	Hortaea werneckii		EXF-9					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCY01	460
GCA_024761435.1	ASM2476143v1	Hortaea werneckii		EXF-2783					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCE01	589
GCA_024761015.1	ASM2476101v1	Hortaea werneckii		EXF-10958					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBO01	578
GCA_024761335.1	ASM2476133v1	Hortaea werneckii		EXF-3846					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCC01	572
GCA_024761765.1	ASM2476176v1	Hortaea werneckii		EXF-12					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCX01	681
GCA_024760885.1	ASM2476088v1	Hortaea werneckii		EXF-14592					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBI01	924
GCA_024761375.1	ASM2476137v1	Hortaea werneckii		EXF-2685					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCF01	525
GCA_024761495.1	ASM2476149v1	Hortaea werneckii		EXF-2515					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCI01	488
GCA_003704645.1	ASM370464v1	Hortaea werneckii		EXF-2788					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIR01	423
GCA_024760935.1	ASM2476093v1	Hortaea werneckii		EXF-12619					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBK01	1345
GCA_003704675.1	ASM370467v1	Hortaea werneckii		EXF-562					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIS01	443
GCA_024761655.1	ASM2476165v1	Hortaea werneckii		EXF-157					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCQ01	900
GCA_024760975.1	ASM2476097v1	Hortaea werneckii		EXF-11651					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBL01	864
GCA_024761535.1	ASM2476153v1	Hortaea werneckii		EXF-561					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCJ01	2161
GCA_024761635.1	ASM2476163v1	Hortaea werneckii		EXF-177					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCN01	1002
GCA_024761475.1	ASM2476147v1	Hortaea werneckii		EXF-2516					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCH01	1002
GCA_003704685.1	ASM370468v1	Hortaea werneckii		EXF-120					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIT01	1565
GCA_003704615.1	ASM370461v1	Hortaea werneckii		EXF-171					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIQ01	1669
GCA_024761275.1	ASM2476127v1	Hortaea werneckii		EXF-8170					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBY01	2227
GCA_003704585.1	ASM370458v1	Hortaea werneckii		EXF-2682					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIP01	2042
GCA_024760895.1	ASM2476089v1	Hortaea werneckii		EXF-14591					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBJ01	2891
GCA_024761565.1	ASM2476156v1	Hortaea werneckii		EXF-269=EXF-108					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCL01	2673
GCA_024761555.1	ASM2476155v1	Hortaea werneckii		EXF-166					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCO01	2431
GCA_024761455.1	ASM2476145v1	Hortaea werneckii		EXF-2683					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCG01	3805
GCA_024761195.1	ASM2476119v1	Hortaea werneckii		EXF-10816					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBV01	3474
GCA_024761035.1	ASM2476103v1	Hortaea werneckii		EXF-10919					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBP01	3515
GCA_024761295.1	ASM2476129v1	Hortaea werneckii		EXF-4716					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCB01	3481
GCA_024761685.1	ASM2476168v1	Hortaea werneckii		EXF-20					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCV01	3530
GCA_024761155.1	ASM2476115v1	Hortaea werneckii		EXF-10819					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBU01	3487
GCA_024761105.1	ASM2476110v1	Hortaea werneckii		EXF-10843					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBS01	3547
GCA_024761675.1	ASM2476167v1	Hortaea werneckii		EXF-154					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCS01	3609
GCA_024761095.1	ASM2476109v1	Hortaea werneckii		EXF-10904					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBR01	3565
GCA_024760925.1	ASM2476092v1	Hortaea werneckii		EXF-225_evol110					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBH01	3555
GCA_024761055.1	ASM2476105v1	Hortaea werneckii		EXF-10907					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBQ01	3596
GCA_024761215.1	ASM2476121v1	Hortaea werneckii		EXF-8422					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBX01	3573
GCA_024761885.1	ASM2476188v1	Hortaea werneckii		EXF-153=EXF-2781					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCT01	3686
GCA_024761605.1	ASM2476160v1	Hortaea werneckii		EXF-156					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCR01	3934
GCA_024760945.1	ASM2476094v1	Hortaea werneckii		EXF-14590					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBG01	3727
GCA_024761695.1	ASM2476169v1	Hortaea werneckii		EXF-152					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCU01	3856
GCA_003704345.1	ASM370434v1	Hortaea werneckii		EXF-6656					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIJ01	4145
GCA_003704375.1	ASM370437v1	Hortaea werneckii		EXF-6654					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIK01	4332
GCA_003704385.1	ASM370438v1	Hortaea werneckii		EXF-6651					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIM01	5072
GCA_024761515.1	ASM2476151v1	Hortaea werneckii		EXF-291					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCK01	5241
GCA_024761845.1	ASM2476184v1	Hortaea werneckii		EXF-161=EXF-2689					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCP01	9588
GCA_003704355.1	ASM370435v1	Hortaea werneckii		EXF-6669					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIL01	5120
GCA_003704595.1	ASM370459v1	Hortaea werneckii		EXF-10513					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2018-10-31	QWIO01	5734
GCA_024761615.1	ASM2476161v1	Hortaea werneckii		EXF-241					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCCM01	6361
GCA_024761825.1	ASM2476182v1	Hortaea werneckii		EXF-10974					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTR01	10623
GCA_024863865.1	ASM2486386v1	Hortaea werneckii		EXF-6652					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-09-02	JAHCCA01	10652
GCA_024761785.1	ASM2476178v1	Hortaea werneckii		EXF-12620					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTQ01	11552
GCA_024762005.1	ASM2476200v1	Hortaea werneckii		EXF-2785					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTY01	11508
GCA_024760995.1	ASM2476099v1	Hortaea werneckii		EXF-11650					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBM01	12120
GCA_024761135.1	ASM2476113v1	Hortaea werneckii		EXF-11540					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCBN01	12197
GCA_024762045.1	ASM2476204v1	Hortaea werneckii		EXF-6274					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTX01	12187
GCA_024762025.1	ASM2476202v1	Hortaea werneckii		EXF-10304					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTW01	13792
GCA_024761805.1	ASM2476180v1	Hortaea werneckii		EXF-10511					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTS01	14416
GCA_024761985.1	ASM2476198v1	Hortaea werneckii		EXF-10509					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTU01	14164
GCA_024761965.1	ASM2476196v1	Hortaea werneckii		EXF-10508					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTV01	14127
GCA_024761945.1	ASM2476194v1	Hortaea werneckii		EXF-10510					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-08-29	JAHCTT01	14252
GCA_009728675.1	ASM972867v1	Pyrenophora teres f. teres		NB85					Annotation submitted by Curtin University	Contig	2019-12-03	WJSM01	47
GCA_009728665.1	ASM972866v1	Pyrenophora teres f. teres		NB29					Annotation submitted by Curtin University	Contig	2019-12-03	WJSO01	55
GCA_009728645.1	ASM972864v1	Pyrenophora teres f. teres		HRS9122					Annotation submitted by Curtin University	Contig	2019-12-03	WJSL01	44
GCA_009728635.1	ASM972863v1	Pyrenophora teres f. teres		HRS9139					Annotation submitted by Curtin University	Contig	2019-12-03	WJSK01	91
GCA_009728655.1	ASM972865v1	Pyrenophora teres f. teres		NB73					Annotation submitted by Curtin University	Contig	2019-12-03	WJSN01	43
GCA_002127715.1	HwerPB1	Hortaea werneckii EXF-2000		EXF-2000					Annotation submitted by University of California, Riverside	Contig	2017-05-11	MUNK01	628
